source_id,ra,dec,phot_g_mean_mag,bp_rp,parallax
3403817897691255424,83.55294651925482,21.995480456863525,19.5635,1.3524189,0.4206013035806209
3403768836280217216,83.61172062414614,21.917578659166594,18.603487,1.2814732,0.3989854154495782
3403768836283295488,83.60796897710537,21.921321391182595,17.27268,1.4183731,0.395236085914667
3403769038144199424,83.59395176365351,21.92698879061922,18.381607,1.0649624,0.36016894912068836
3403769042438649216,83.59773264277618,21.924461829765786,20.102207,1.3812981,0.4648502894766788
3403769106863678592,83.57801711116663,21.9303326936149,19.006968,1.7488136,1.5459600556836173
3403769106863679232,83.59295798593193,21.931944252947794,20.189413,1.4222012,0.49285451908126726
3403769106863679360,83.58210392183688,21.931973685094672,18.874695,1.3331337,0.40542324504768057
3403769111159562624,83.57614317535437,21.93483452965142,20.818184,0.8439274,0.12442133215891293
3403769519180528384,83.6425751325694,21.915001901582166,18.16017,1.216919,0.03658786645475562
3403769519180531456,83.65117349038314,21.919743362491044,19.72044,1.4570866,0.19054353323689804
3403769587900012672,83.68040250184461,21.925900939529082,17.429153,1.6102276,0.539598702453675
3403769587900013184,83.67767925776249,21.927794782913473,19.748095,1.7304707,0.12997939197782915
3403769587902248320,83.67891557548332,21.926725265167036,19.019306,2.2764378,0.7865751839161067
3403769592195054080,83.67890408924792,21.925790244490177,19.028948,1.2571793,0.2661323865021927
3403769622259745280,83.65704906172567,21.91768805996671,18.017527,1.2245693,0.477833677146914
3403769626554800000,83.66696287087774,21.922091027401862,19.893559,1.6743107,0.6783579041418396
3403769626554802048,83.65493075808232,21.925927844157435,20.069355,2.2027302,0.36487525666321785
3403769660917310336,83.67252506620369,21.9293257313305,16.337444,1.1891432,0.35354028222338607
3403769965857139584,83.69152610865818,21.934912875702636,19.34522,2.0719166,1.9745708839238307
3403769965857142144,83.68993098729776,21.939221227188327,18.303503,1.2542458,0.3469612516370537
3403770000215928704,83.70561535418503,21.94618563102868,13.365814,1.7488632,0.27747123878151136
3403770000216886016,83.6997121392717,21.949219376492703,18.852213,2.8117142,1.3280355718714556
3403770004511897216,83.70589087683284,21.941356383527538,17.64402,1.2725563,0.2354920820545284
3403770004512693888,83.70121125163118,21.940538302881087,20.330631,2.2638988,1.4584955531124988
3403770034576617088,83.68316779952204,21.935259697844025,18.333574,1.1971416,0.29489219929167787
3403770034576620032,83.68318954738508,21.941524872978277,17.837475,1.5140419,0.4544572334517582
